Places,latitude,longitude
Arunachal Pradesh  Bhalukpong, 27.14, 93.61
Arunachal Pradesh  Tipi, 27.14, 93.62 
Arunachal Pradesh  Sessa, 27.26, 92.42
Arunachal Pradesh  Bomdila, 27.25, 92.44
Arunachal Pradesh  Dirang, 27.35, 92.24
Arunachal Pradesh  Sela Pass, 27.516, 92.066
Arunachal Pradesh  Nuranang, 27.22, 92.45
Arunachal Pradesh  Jaswant Garh, 27.36, 92.00
Arunachal Pradesh  Zemithang, 27.71, 91.72
Arunachal Pradesh  Tawang, 27.588, 91.87
Arunachal Pradesh  Bumla Pass, 27.57, 91.86
Arunachal Pradesh  ptso Lakes, 27.2, 96.8
Arunachal Pradesh  Itanagar Ziro, 27.68, 92.20
Arunachal Pradesh  Itanagar, 27.1, 93.62
Arunachal Pradesh  Gyekar Sinyik, 27.09, 93.82
Arunachal Pradesh  Jawaharlal Nehru State Museum, 26.28, 91.30
Arunachal Pradesh  Ziro, 27.82, 93.52
Arunachal Pradesh  Talley Valley, 29.74, 94.93
Arunachal Pradesh  Shivalinga at Kardo Hills, 28.5, 94.6
Arunachal Pradesh  Daporijo, 28.23, 93.89
Arunachal Pradesh  Menga Cave, 26.99, 95.55
Arunachal Pradesh  Aalo, 28.17, 94.79
Arunachal Pradesh  Likabali, 27.59, 94.76
Arunachal Pradesh  Malinithan, 27.84, 95.247
Arunachal Pradesh  Doimukh Sagalee Pake Kessang Seppa Tourist Circuit, 27.15, 93.74
Arunachal Pradesh  Doimukh, 27.16, 93.77
Arunachal Pradesh  Sagalee, 27.35, 96.01
Arunachal Pradesh  Pake Kessang, 27.35, 96.01
Arunachal Pradesh  Pappu valley, 27.14, 93.61
Arunachal Pradesh  Seppa, 27.31, 95.5
Asssam Tezpur, 26.65, 92.79
Assam  Assam State Museum, 26.28, 91.75
Assam  Zoo cum Botanical Garden, 27.3, 95.4
Assam  Planetarium Guwahati, 26.19, 91.75
Assam  Science Museum, 27.48, 95.18
Assam  Srimanta Sankardev Kalakshetra, 26.130, 91.82
Assam  Silpagram, 26.13, 91.82
Assam  Dighali Pukhuri, 26.14, 91.73
Assam  Kamakhya, 26.16, 91.70
Assam  Basistha Ashram, 26.09, 91.78
Assam  Navagraha Temple, 26.19, 91.76
Assam  Umananda Temple, 26.19, 91.74
Assam  Sukreswar Temple, 26.15, 91.72
Assam  Tirupathi Balaji Temple, 26.06, 91.8
Assam  Hajo, 26.25, 91.52
Assam  Sualkushi, 26.17, 91.57
Assam  Madan Kamdev, 26.31, 91.73
Assam  Pabitora wild life Sanctuary, 26.23, 92.05
Assam  Chandubi, 25.88, 91.42
Assam  Kulsi, 26.76, 94.18
Assam  Deepor Beel, 26.14, 92.32
Assam  North Guwahati, 26.20, 91.74
Assam  Dirgheswari Temple,26.13,91.00
Assam  Dolgobinda Temple,26.206,91.74
Assam  Aswaklanta Temple,26.18,91.72
Assam  Moni Korneswar Temple,26.19,91.77
Assam  Rudreswar Devalaya,26.209,91.724
Assam Aouriati Satra,26.42,92.845
Assam  Kanoi boroshi bua,25.59,91.15 
Assam  Dhubri District,26.020,89.974
Assam  Tarakata Silpagram at Asarikandi,26.096,90.005
Assam Tinsukia District,27.492,95.346
Assam Dibru Saikhowa National Park,27.669,95.362
Assam Rural Tourism centre at Dehing Patkai,27.298,95.916
Assam Wayside amenities at Tinsukia,27.49,95.35
Assam Yatrinivas at Kakopathar,27.639,95.671
Assam Wayside amenities at Digboi,27.395,95.630
Assam Joypur ,25.948,93.860
Assam Dhamaji,27.608,94.769
Assam Gogamakh,27.434,94.315
Assam Sonitpur,26.673,92.857
Assam Wayside amenities at Biswanath Chariali,26.726,93.147
Assam Tourist Lodge at Biswanath Chariali,26.728,93.147
Manipur Imphal West,24.782,93.885
Manipur Kangla Fort,24.00,94.00
Manipur Ima Market,24.808,93.933
Manipur Shaheed Minar,24.807,93.936
Manipur Nupilal complex,24.802,93.940
Manipur Manipur State Museum,24.805,93.937
Manipur Imphal War Cemetery,24.821,93.945
Manipur Govindajee Temple,24.798,93.948
Manipur Mahabali Temple,24.795,93.943
Manipur Imphal East,24.780,93.967
Manipur Andro,24.725,94.044
Manipur Komirei Garden Tinsid Road,24.772,93.88
Manipur Ecological park Nongmaiching,24.64,93.86
Manipur Kaina,24.674,94.015
Manipur Thoubal,24.543,93.967
Manipur Khongjom War Memorial Complex,24.538,94.041
Manipur Waithoupat,24.56,94.00
Manipur Kakching Garden,24.78,93.95
Manipur Bishnupur,24.630,93.759
Manipur Loktak Lake,24.559,93.814
Manipur Keibul Lamjao National park,24.479,93.808
Manipur INA Museum Moirang,24.498,93.776
Manipur Maibam Lokpaching Red Hill,24.705,93.828
Manipur Phubala,24.7,93.82
Manipur Loukoipat,24.6,93.77
Manipur Ukhrul,24.932,94.480
Manipur Shirui Peak,25.11,94.446
Manipur Jessami,25.623,94.540
Manipur Nungba Village,24.749,93.422
Manipur Tamenglong,24.958,93.500
Manipur Barak Waterfalls,24.663,93.906
Manipur Tharon Caves,24.9,93.5
Manipur Zeliad Lake,24.7,93.6
Manipur Senapati,25.320,94.151
Manipur Sadu Chiru Waterfalls,24.731,93.762
Manipur Singda Dam,24.872,93.808
Manipur Mao,25.507,94.133
Meghalaya East Khasi Hills,25.368,91.753
Meghalaya Ward Lake and Botanical Garden,25.575,91.886
Meghalaya Entomological Butterfly Museum,25.939,90.860
Meghalaya Meghalaya State Museum,21.1,88.52
Meghalaya Lady Hydari Park,25.565,91.882
